Titulo,Link,Descricao,Termo,Texto_Completo,Sentimento
Divulgado o resultado preliminar do projeto Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMikgFBVV95cUxNZVpLem5BTUVuN2JOWENVM3JrVEw4UV9Ock80NmluenR3by1ZdGtJZFRWZDluUVA2RVhNWmlzaGRYY1oyQ2JRVXI1Zk5GMzZaRWh1Z0VGOWktN3FBMFgwWTlobUdGMmFJVDNrOW1nS2M4R0xZVWc4VktNRDlQSXRqc2RVdm92eVFObGpiRVBnZWFtZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNZVpLem5BTUVuN2JOWENVM3JrVEw4UV9Ock80NmluenR3by1ZdGtJZFRWZDluUVA2RVhNWmlzaGRYY1oyQ2JRVXI1Zk5GMzZaRWh1Z0VGOWktN3FBMFgwWTlobUdGMmFJVDNrOW1nS2M4R0xZVWc4VktNRDlQSXRqc2RVdm92eVFObGpiRVBnZWFtZw?oc=5"" target=""_blank"">Divulgado o resultado preliminar do projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,divulgado o resultado preliminar do projeto conexão ciência piauí pigovbr divulgado o resultado preliminar do projeto conexão ciência piauí pigovbr,Positivo
SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí - SEDUC-PI,https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxQV1NETTFwSVRucmxmcS16cWpQQVR0aDA4Z0Nhd3pzUE50dk9GNXVTLXF6aEU2S01CTzl2V2FIZEpfQ0tBZEUtZ2NRb1BYRzNidVBJcm82OUE4QkdmdE1Cd2Ixc05OVEt5VkVEandoaTltY0tLRTdiNEtnMFA3aEdQTi1YX0ZDOERkVlJfYzNqR051RnhDX0t6R2x5Sm9GNDY2Rk1Qb0REZzZyQzl0b3BfUmQtM1J2bUN3aFZRSHFsSk1VVk9fcGk3TkZYRERWQkJjR3lMMG4ySmx2YVBfUmVkNXhKUkRfUmxiU3lQQw?oc=5"" target=""_blank"">SIA e Seduc lançam chamada pública para seleção de professores bolsistas no projeto Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SEDUC-PI</font>",SIA Piauí,sia e seduc lançam chamada pública para seleção de professores bolsistas no projeto conexão ciência piauí seducpi sia e seduc lançam chamada pública para seleção de professores bolsistas no projeto conexão ciência piauí seducpi,Positivo
"Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference - pi.gov.br",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOam0zZTF4RTRhS3JLQWNKSi1iaDQ1N1BkdGgzUnQ0bXRteDBXUVhuTGQwZkNwRllpUVpUajhMZzl4UEdFb2pSYkVJRVpmSzd4T0MtUDgzUWJjZmQxWk1RalB3LVlTcDJqdTJLRC04Wlk4Um1KOUVIQWtkeHFZUEdXMl8wbVc3aXVSczRMUHJwMFlPR2VxajdFajJ5ZTVrUG9CNWh0T1IyWGRZblBsTGRUZzNXd3VJbGZ0X2ZsSVBHekNiNUZVYkFwcA?oc=5"" target=""_blank"">Secretaria leva tecnologia imersiva, realidade virtual e inteligência artificial à Brazil Energy Conference</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,secretaria leva tecnologia imersiva realidade virtual e inteligência artificial à brazil energy conference pigovbr secretaria leva tecnologia imersiva realidade virtual e inteligência artificial à brazil energy conference pigovbr,Positivo
Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOLXBhWnFUUlhjSVlBZTVTSVZhbWx0bFFPdFduUWk3Nm9yd0lHeUxwZUQ2bmRxd2xHOWpIUHFUaThYa0xYdTZSX3NnZGwzWkV0djZPdDZ5VkViWUJDMTRCV3prNm9EUnE4RFA3Z2FPamJoLXNPT3FLOVBfSklMTXhiT1h4c29IVXVRTnFpeWZMSS1mM1I4dGVkZ0g5NzlpQmEzeHc?oc=5"" target=""_blank"">Game sobre energia renovável desenvolvido na SIA é disponibilizado ao público</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,game sobre energia renovável desenvolvido na sia é disponibilizado ao público pigovbr game sobre energia renovável desenvolvido na sia é disponibilizado ao público pigovbr,Positivo
Inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no Piauí - G1,https://news.google.com/rss/articles/CBMi8wFBVV95cUxPWGc4bDdEaTFxdGsxcEdraXJjVlFqQ21OUDRfNWRlYzZqb1o1RDhJZFpudE5FVEs0VnhDaGE4QkNuV1poWnFPX1pIY2ItVFJQbF9KY0pRWXBUcHVVdHZUNXZ6ZEo5NVVTX2pfZ3llTlctLTh2MjBsWEtIZVBrTmw5c3p5YzlHcXBUcTNwRTI3dzdRZHZ1VW02OVRwMHkwaHdrVFUzZjB3OXY4Z0dPMmNDd0pUZ0Q4WVc4RDVFWVRoc2ZvOGM2bnk1QlplWS1yWFUtQWhtaEVQV0pnZTl5VndldnFwUUJYS2x2N0x3Y3g3WlJVbE3SAYICQVVfeXFMUDlTX0VzRkNZSEZrNmwxbmY1SDF3UFRRbXYxaTZEZkhvYVJUa0dDRG4xTDlBTk9rNTByUTlHZEtCRktaRnJmZjc2TEliQW9QY1Z1cGk0aG9NRm1ZVGNZOE03OTNXcUNfYnFqLVA3d3NFaGRkTmxTT29Ba3BxcDdVUmxrdDFKbUNFQmNwUThQRjIyTEdwajhvT1N4T3U2ZDZpSUdlbTBqSzN0ODJxdEVzZEhLbnljZWhDOUJJNm8xbzd3VjJZVzQ5VTZXXzc4d2hYUml5WFViVmEtOUlCQ2lYcEMzYTgzMnVJa1F6VWNORXB6dWxFTlFENHdEU0lDeTlaV3pB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPWGc4bDdEaTFxdGsxcEdraXJjVlFqQ21OUDRfNWRlYzZqb1o1RDhJZFpudE5FVEs0VnhDaGE4QkNuV1poWnFPX1pIY2ItVFJQbF9KY0pRWXBUcHVVdHZUNXZ6ZEo5NVVTX2pfZ3llTlctLTh2MjBsWEtIZVBrTmw5c3p5YzlHcXBUcTNwRTI3dzdRZHZ1VW02OVRwMHkwaHdrVFUzZjB3OXY4Z0dPMmNDd0pUZ0Q4WVc4RDVFWVRoc2ZvOGM2bnk1QlplWS1yWFUtQWhtaEVQV0pnZTl5VndldnFwUUJYS2x2N0x3Y3g3WlJVbE3SAYICQVVfeXFMUDlTX0VzRkNZSEZrNmwxbmY1SDF3UFRRbXYxaTZEZkhvYVJUa0dDRG4xTDlBTk9rNTByUTlHZEtCRktaRnJmZjc2TEliQW9QY1Z1cGk0aG9NRm1ZVGNZOE03OTNXcUNfYnFqLVA3d3NFaGRkTmxTT29Ba3BxcDdVUmxrdDFKbUNFQmNwUThQRjIyTEdwajhvT1N4T3U2ZDZpSUdlbTBqSzN0ODJxdEVzZEhLbnljZWhDOUJJNm8xbzd3VjJZVzQ5VTZXXzc4d2hYUml5WFViVmEtOUlCQ2lYcEMzYTgzMnVJa1F6VWNORXB6dWxFTlFENHdEU0lDeTlaV3pB?oc=5"" target=""_blank"">Inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">G1</font>",Inteligência Artificial Piauí,inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no piauí g1 inscrições para 115 vagas em cursos superiores gratuitos de inteligência artificial estão abertas no piauí g1,Neutro
Inteligência Artificial (IA) na educação pública do Piauí - Fundação Telefônica Vivo,https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5"" target=""_blank"">Inteligência Artificial (IA) na educação pública do Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fundação Telefônica Vivo</font>",Inteligência Artificial Piauí,inteligência artificial ia na educação pública do piauí fundação telefônica vivo inteligência artificial ia na educação pública do piauí fundação telefônica vivo,Positivo
Pactos pelo Piauí: Governo aposta em IA para modernizar prefeituras - pi.gov.br,https://news.google.com/rss/articles/CBMikwFBVV95cUxNMWJoOTBHWUFxRWQ5dFN1eWhCcnV6R2E3YlBrLXExSS1MR1lUdlE1SzhfRG93REpXZE9tRHBtenFjMkJPeGpTNE5icDBuU2NxblZRZHFINEoya3Z2dE5NXzRvTW5GcF95eHIyQ1hFQ0t0d05oc2ZpNTR2YllndHpuQmVUWC1OZ1VyaTNNYkwwSDBZd0U?oc=5,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxNMWJoOTBHWUFxRWQ5dFN1eWhCcnV6R2E3YlBrLXExSS1MR1lUdlE1SzhfRG93REpXZE9tRHBtenFjMkJPeGpTNE5icDBuU2NxblZRZHFINEoya3Z2dE5NXzRvTW5GcF95eHIyQ1hFQ0t0d05oc2ZpNTR2YllndHpuQmVUWC1OZ1VyaTNNYkwwSDBZd0U?oc=5"" target=""_blank"">Pactos pelo Piauí: Governo aposta em IA para modernizar prefeituras</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,pactos pelo piauí governo aposta em ia para modernizar prefeituras pigovbr pactos pelo piauí governo aposta em ia para modernizar prefeituras pigovbr,Neutro
Governo divulga resultado final de chamada pública do Conexão Ciência Piauí - pi.gov.br,https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPeXozUHRYOG9rc3pnTGs3UWNraGtjVy1ISG0teFhsMVBkdVFtSzNxYnpBNkZyaTl6MUJxLTJIN0tXak9pOFZnS3VRZUVvZEtnME8xUW1ybFNXS3pWMHFiOGJxdlFMUE9nRHY4OUYzLUExV0RBUmRyV2ZWXzhkNGtkdXJyeDhxNEZoVVhIWDBMay16LUFqOGExZXpibEJlUGdTT3c?oc=5"" target=""_blank"">Governo divulga resultado final de chamada pública do Conexão Ciência Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",SIA Piauí,governo divulga resultado final de chamada pública do conexão ciência piauí pigovbr governo divulga resultado final de chamada pública do conexão ciência piauí pigovbr,Positivo
Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16) - pi.gov.br,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5"" target=""_blank"">Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",Inteligência Artificial Piauí,piauí lança sistema de videomonitoramento urbano com inteligência artificial e inaugura centro integrado de comando e controle neste sábado 16 pigovbr piauí lança sistema de videomonitoramento urbano com inteligência artificial e inaugura centro integrado de comando e controle neste sábado 16 pigovbr,Neutro
